link_type,linked,text
0,1,we had to go into Pakistan. [SEP] We had to go in there to get Osama bin Laden
0,1,it has stood for concern for the people's welfare. [SEP] That's the importance of party
2,0,"for political advantage, every time they do that. [SEP] that's your tax money being wasted"
2,0,I don't believe we need a good liberal judge. [SEP] the United States government is working with the private sector to fund the kind of innovation that we can then export to countries like China that also need energy and are setting up one coal power plant a week
2,0,"it permits the president to sort out the priorities. [SEP] it seems to me that we ought to take that money we can save from the Department of Education, put it into opportunity scholarships"
2,0,"This administration, by going into the Star Wars system, is going to add a dangerous new escalation. [SEP] the incentives that are in our current way of doing business, are what are killing us"
0,1,"all these other proposals are going to be a lot easier to get passed for the American people. [SEP] if I'm president, the very first bill that Joe Lieberman and I will send to the United States Congress is the McCain-Feingold campaign finance reform bill"
2,0,"we have worked with the Russians in a constructive way in Kosovo, for example, to end the conflict there. [SEP] We're not going to let our companies be raided by other countries where we lose all our jobs"
2,0,"She's been doing this for 30 years. [SEP] that's just another one of those little fruit-loopy things they make up to try to, instead of facing issues, to try to redefine a person that's running against them"
2,0,I'm commander in chief.. we have come back from that abyss
2,0,"if you’re under 26, and your parents have a policy, you can be on that policy until the age of 26, something that didn’t happen before. [SEP] You go to the heart of America's worries tonight"
0,1,I think the principal that separates me is that 5 and a half million people came together on their own and put me on the ballot. [SEP] This is a movement that came from the people
2,0,the extra strategy obvious. [SEP] I expect to win
2,0,"If you live your life the way they want you to live your life, if you behave in a certain way, you qualify for a tax credit and at that point you get some relief. [SEP] I'm going to have to"
0,1,we have to look for alternative sources of fuel. [SEP] I don't think that that's a proper objective in trying to clean up this environment
0,1,he was a good neighbor in the United States. [SEP] He was a good neighbor in Latin America
0,1,The individual worker in the plants throughout the United States should not be a small cog in a big machine. [SEP] it's a time for government to understand and to cooperate with our people
0,1,Americans are hurting tonight in a way they have not in our generation. [SEP] The challenges that we face are unprecedented
0,1,"that is democracy and tolerance and freedom and equal rights. [SEP] that's a good team, it's a good ticket"
2,0,"We hadn't put al Qaeda to rest. [SEP] if we continue with these policies, this trillion and a half dollars worth of new debt that's already been added on the backs of the American taxpayer is going to increase even more"
0,1,she has ignited our party and people all over America that have never been involved in the political process. [SEP] she's a role model to women and other -- and reformers all over America
2,0,"we've put it through a good economic model. [SEP] In the old days we'd see a threat, and we could deal with it if we felt like it or not"
0,1,I'll get Osama bin Laden. [SEP] I'll get him no matter what and I know how to do it
1,1,"This kind of confusion and absence of leadership has let us drift now for two years with a constantly increasing threat of atomic weapons throughout the world. [SEP] Mr. Ford, again, under pressure from the atomic energy lobby, has insisted that this reprocessing or rather re-en- enrichment be done by private industry and not by the existing uh - government uh - plants"
1,1,We’re going to make great trade deals. [SEP] It’s hard to believe
2,0,we want to bring him to justice. [SEP] It ought to be extended
2,0,without a college level job. [SEP] This will work
0,1,"what we've got to do is use absolutely the best security possible. [SEP] That will reduce terror, it won't eliminate it"
2,0,"I said I did if administered fairly and justly. [SEP] I have friends who are in gay and lesbian partnerships who said to me, isn't it fair"
1,1,these are things a President must know to command. [SEP] the leadership of this government did not pursue wise policies
0,1,"when I talked to those former gang members, here's what they told me why they joined the gang. [SEP] joining a gang is like joining a family"
2,0,He didn't do all these things. [SEP] America is now bearing this extraordinary burden where we are not as safe as we ought to be
2,0,"what I did was to have the justice department and the education department for the first time ever issue a set of guidelines that we gave to every school in America. [SEP] even when it finally got near passage, Senator Kennedy held it up for 100 days, because he wasn't satisfied with one provision"
2,0,There was a right way to disarm him and a wrong way. [SEP] And the president chose the wrong way. [SEP] It was the Soviet Union that was unwilling to discuss the walk in the woods
0,1,we are winning in Iraq. [SEP] we are winning in Iraq
2,0,John Kerry will never give up control over the security of the United States of America to any other country. [SEP] on top of the extension of the Bush tax cuts -- that's another trillion dollars
0,1,the Soviet change is not fully established yet. [SEP] I think the jury is still out on the Soviet experiment
0,1,"He decides who the right people are. [SEP] If you itemize your tax return, you get no marriage penalty relief"
2,0,"It puts a hair-trigger, and it is a dangerous, destabilizing weapon. [SEP] it's important that our leaders demonstrate those values from the top"
0,1,"Now I'm all for private schools, but to use taxpayer dollars, when the people who get these little vouchers often won't be able to afford the private school anyway. [SEP] that is a ripoff of the US taxpayer"
2,0,"He said he was going to broaden the base. [SEP] John McCain was saying two years ago quote, ""The reason we don't read about Afghanistan anymore in the paper, it's succeeded"
2,0,don't always believe what you see on television. [SEP] it's a popular thing to say with a lot of people
2,0,"I believe in 1960 and sixty-one and two and three we have a rendezvous with destiny. [SEP] over time, if traditional Medicare has decayed or fallen apart, then they're stuck"
0,1,Do we remove dams that produce hydroelectric energy?. [SEP] I'm against removing dams in the northwest
2,0,"this kind of naked aggression into Georgia, a tiny country and a tiny democracy. [SEP] These were areas on which Senator Dole and I differed"
2,0,They pulled out of the global warming. [SEP] I think what is misleading is to say you can lead and succeed in Iraq if you keep changing your positions on this war
2,0,"we only have 3 percent of the world's oil supplies. [SEP] if anybody can even think about legalizing drugs, they've lost me"
0,1,I would have used that force wisely. [SEP] I would have used that authority wisely
2,0,"As for disagreeing with John McCain and how our administration would work, what do you expect?. [SEP] It's a culture that somewhere along the line we've begun to disrespect life"
2,0,"that was the serious, serious threat. [SEP] Today in America more minorities own a home than ever before"
2,0,I don't advocate amnesty. [SEP] We better get it right now
2,0,The poverty program we are going to concentrate on is creating jobs and opportunities. [SEP] John Kerry and I believe that we can do better
1,1,"f you take a look, are you better off?. [SEP] I guess some may be better off"
2,0,"I agree with the president. [SEP] I believe that if we can get a party which believes in movement, which believes in going ahead, then we can reestablish our position in the world - strong defense, strong in economic growth, justice for our people, co- guarantee of constitutional rights"
2,0,"Family incomes are down, while the cost of everything is going up. [SEP] if they couldn't stand up to the pressures that Howard Dean represented, how can we expect them to stand up to Al Qaida"
1,1,"we should be allowing bankruptcy courts to be able to re-adjust not just the interest rate you're paying on your mortgage to be able to stay in your home, but be able to adjust the principal that you owe, the principal that you owe. [SEP] I believe John McCain and the governor don't support that"
0,1,we will do it aggressively. [SEP] One thing that we agree about is the need to be offensive in going after terrorists
2,0,I was in the Oval Office the night when President Clinton dispatched our troops from Ft  Bragg. [SEP] mortgage-holders didn't pay the price
2,0,that is the result of this president taking his eye off of Osama bin Laden. [SEP] It's their responsibility to take over their own security
0,1,it's about change. [SEP] This race is about values
2,0,a more unified country. [SEP] our nation has been on a multi-pronged strategy to keep our country safer
2,0,I favor nuclear power as one component of our overall energy mix. [SEP] get rid of the greed and corruption on Wall Street and in Washington
0,1,I was in Kyoto. [SEP] I was part of that
0,1,the president decided to cut the COPS program. [SEP] Police officers are being cut from the streets of America
2,0,"We have considered inflation in our figures. [SEP] until we stabilize home values in America, we're never going to start turning around and creating jobs and fixing our economy"
2,0,I’ve looked at different place. [SEP] That's what I've been doing for the last four years
2,0,They have not had any human rights at all. [SEP] Here’s the problem
0,1,That's like the family of medical-leave law. [SEP] one of the things that I tried to do was to make sure that everybody in the country who was under a managed care plan should at least have three choices of plans
0,1,You should know that the American character displayed in those dungeons by those fine men was a thing of beauty. [SEP] That's one thing I'm an insider on
2,0,"Employers would cover their employees, government would cover the unemployed.. [SEP] I believe that we did the appropriate thing under the circumstances"
1,1,"We've had enough of that, ladies and gentlemen. [SEP] We've run up more debt in the last eight years than under all the presidents from George Washington to Jimmy Carter combined"
2,0,"We have seen uh - the Federal Energy Agency established, for instance. [SEP] There's only one way out of this"
0,1,I think we've seen a deterioration of values. [SEP] I think for a while as a nation we condoned those things we should have condemned
0,1,"which is less than three cents a day per person for medical care, doctors' bills, nurses, hospitals, when they retire. [SEP] It is actuarially sound"
2,0,"people have looked at both of our plans, have concluded that mine would create 10 million jobs and yours would lose us 3.5 million jobs, and explode the debt which would have a recession. [SEP] We’re going to choose to move forward"
0,1,"When we had Osama bin Laden cornered, they left the job to the Afghan warlords. [SEP] Someone did get it wrong. [SEP] But it wasn't John Kerry and John Edwards. [SEP] They got it wrong"
2,0,"your rate comes down and the burden also comes down on you for one more reason. [SEP] The only way they step up is to say, ""Fellas, we're leaving; we've trained you; step up, step up."""
0,1,that Social Security benefits should not be taxed. [SEP] These constant suggestions that the basic Social Security System should be changed does call for concern and consternation among the aged of our country
0,1,"We did it in my state, and we can do it nationally. [SEP] I know that we can grow manufacturing jobs"
0,1,"for those reasons, for the tax, for Medicare, for this board, and for people losing their insurance. [SEP] American people don't want Medicare -- don't want Obamacare"
2,0,"that is a ripoff of the US taxpayer. [SEP] The proposal we have from Al Gore, basically, doesn't do that"
2,0,"fourthly, as a moral leader. [SEP] I believe the people who pay the bills ought to get some money back"
0,1,"He'll know how to win a war. [SEP] but, again, John McCain who knows how to win a war"
2,0,even knowing there was no connection with Al Qaida. [SEP] The quality of the air's cleaner since I've been the president
2,0,"Nobody should smoke, young or old. [SEP] That's the plan for victory"
0,1,"I signed a bill that puts CHIPS in place. [SEP] Let me go back to Texas, for example, for a minute"
1,1,"I want to have a surcharge on incomes above $5 million.We have to make up for lost times, because I want to invest in you. [SEP] I think it’s been unfortunate, but it’s happened, that since the Great Recession, the gains have all gone to the top"
2,0,the Congress has been unwilling to support those who have been fighting for freedom. [SEP] I'm proud of her
2,0,"As a matter of fact, I'm the first governor in the history of my state to fund that pension system. [SEP] I'm going to keep on vetoing them"
0,1,any connection with Al Qaida is tenuous at best. [SEP] there is no connection between Saddam Hussein and the attacks of September 11th -- period
0,1,"We do more good things for more people in our communities, our neighborhoods, than anywhere that I know of. [SEP] We are the greatest country on the face of the earth"
0,1,"Criticized that, yet 85 percent of the American people supported our rescue mission, and we turned a communist country into a noncommunist country. [SEP] There's another issue that Michael Dukakis is wrong on in Central America, and that's Grenada"
0,1,It's an election about the course of America. [SEP] What kind of America do you want to have for yourself and for your children
2,0,"But science, there's a lot -- there's differing opinions. [SEP] he's got a lot of experience, but so do I"
0,1,We encourage parents to take a look at the comparative results of schools. [SEP] We have a strong charter school movement that I signed the legislation to get started in the State of Texas
0,1,They’ve never endorsed a presidential candidate.. And it shouldn’t be allowed to happen.ICE just endorsed me.
2,0,He was the last communist party boss there. [SEP] I believe we can have the strongest and best defense possible
0,1,I hope that will happen.. We have to be firm and strong
2,0,"if you reform these programs for my generation, people 54 and below, you can guarantee they don't change for people in or near retirement. [SEP] I have fought time after time against these pork barrel"
2,0,Prosperity is not just going to trickle down. [SEP] you’re entitled to your opinion
0,1,"Part of it is seeing if we can get automatic weapons that kill folks in amazing numbers out of the hands of criminals and the mentally ill. that if there's violence on the streets, that working with faith groups and law enforcement, we can catch it before it gets out of control"
0,1,Earmarks account for 0.5 percent of the total federal budget. [SEP] it's not going to solve the problem
2,0,I care about 100 percent of the American people. [SEP] the first thing we have to do is to continue to keep confidence abroad in the American dollar
2,0,What he was doing was learning math on television. [SEP] We haven't adequately funded veterans' care
0,1,for 15 years the Soviet Union has been preparing to meet the B - 1. [SEP] The Secretary of Defense himself said it would be a suicide mission if it were built
2,0,the dynamics work. [SEP] We're going to get it done
0,1,We don't need across-the-board tax cuts for the wealthy for nothing. [SEP] We've got to have no more trickle down
2,0,"Each of those countries is independent, autonomous. [SEP] there is a lot wrong with America"
1,1,"Over the last ten years since he's been governor, they're 30% behind, 30% -- they're 30% of the national average. [SEP] I'll give you an example. [SEP] He talks about all the jobs he's created in one or 2 years"
2,0,"To deal with exactly the kind of ups and downs of energy prices. [SEP] our commanding general in Afghanistan said the surge principle in Iraq will not work in Afghanistan, not Joe Biden, our commanding general in Afghanistan"
2,0,if you create the jobs. [SEP] We certainly do
0,1,Captain Miller is thankful. [SEP] I think Captain Miller's testimony to that effect is the best evidence
0,1,Women are even eligible to run for office. [SEP] They have done wonders writing their own constitution for the first time ever
2,0,We've achieved an arms control agreement that our critics thought was never possible. [SEP] Governor Romney's plan doesn't do it
0,1,"this is the stimulation, the incentive for companies to go out and explore for oil, to develop it. [SEP] I favor the present depletion allowance"
0,1,They've had eight years to get something done on Medicare. [SEP] they have not got it done
2,0,there's sure a lot of people who don't understand business. [SEP] we'll go right back to the days of the misery index and malaise that President Reagan and I have overcome
2,0,"let's not cut down our insurance policy, which is participation of American forces in NATO, the greatest peace- keeping organization ever made. [SEP] when I had quoted a Democratic President, as the President says, I was a Democrat"
0,1,"new breakthroughs in atomic energy technology there's some indications that by the time the next president's term of office has come to an end, there may be ten, fifteen, or twenty countries with an atomic capacity, perhaps that many testing bombs with all the effect that it could have on the atmosphere and with all the chances that more and more countries will have an atomic capacity, with more and more chance of war. [SEP] I hope we can come to an agreement because it does not merely involve now the United States, Britain, France, and the Soviet Union as atomic powers"
0,1,"we have gone to all four corners of the Earth and shed American blood in defense, usually, of somebody else's freedom and our own. [SEP] America is the greatest force for good in the history of the world"
2,0,"this is a gift to ISIS and the terrorists, violent jihadist terrorists.We are not at war with Islam. [SEP] the question is, would you buy a used election promise from my opponent."
0,1,"you ought to have some of this surplus so you can save and dream and build. [SEP] After setting priorities, I want to give some of your money back"
0,1,You said by now we'd be at 5.4 percent unemployment. [SEP] It hasn't worked
0,1,they are the innocent bystanders here in what is the biggest financial crisis and challenge of our time. [SEP] we've got to give them a chance to do their best again
1,1,"that is not right. [SEP] If you're a single mother making $22,000 a year and you have two children, under this tax code, for every additional dollar you make, you pay a higher marginal rate on that dollar than someone making more than $200,000 a year"
2,0,"recommendations which would not be binding, but nevertheless would have great force of public opinion behind them. [SEP] We don't have good health care"
1,1,"his may seem like a rigid, inflexible position. [SEP] I don't believe we should go to a summit conference unless we have such an agenda, unless we have some reasonable insur- assurance from Mr. Khrushchev that he intends seriously to negotiate on those points"
0,1,"He voted for the last two budgets that had that $24 billion more in spending than the budget that the Bush administration proposed. [SEP] the fact is, let's look at our records, Senator Obama"
2,0,I don't think he was misleading when he said that it was right to disarm Iraq in the spring of 2003. [SEP] I think you got to look at the integrity and the honor of the people that are being lobbied and those that are lobbyists
2,0,"We've never let the Congress and the Foreign Relations, Senate Intelligence Committees see them. [SEP] we think we can do it very safely in an environmentally sound manner"
2,0,"We now are planning to continue the revitalization program with increased commitments of rapid transit, mass transit. [SEP] Senator McCain opposed funding for troops in legislation that had a timetable"
0,1,"to assure our Western allies of our presence there, a strong defense. [SEP] We need to strengthen that"
2,0,Haiti is very ambiguous at best. [SEP] you've got to make up your mind
2,0,"When she was the head of their energy and natural resources board, she saw corruption, she resigned and said, ""This can't go on."". [SEP] It's an unbelievable company"
2,0,"The governor, if it's a failing school, would leave the children in that failing school for three years and then give a little bit of money to the parents, a down payment on a down payment for private school tuition, and pretend that that would be enough for them to go out and go to a private school. [SEP] People aren't looking for more of the same"
1,1,"He didn't do any of those things. [SEP] He went to Cincinnati and he gave a speech in which he said, ""We will plan carefully"
2,0,"labels don't mean anything. [SEP] That's more than shelter, food, clothing, and energy"
2,0,"with regards to Iraq, you and I agreed I believe that there should be a status of forces agreement. [SEP] limited government can work in the second largest state in the union"
2,0,Young girls are going to school. [SEP] I strongly support new accountability
0,1,"20 million of you are going to be dropped. [SEP] You're going to have to pay -- replace a $12,000 plan"
2,0,I did. [SEP] they quadrupled their nuclear capacity
0,1,that's not fair. [SEP] I think the tax system is unfair
2,0,the United States will maintain our national security interest in the Panama Canal. [SEP] I think I have experience that counts
2,0,our nation now needs to speak with one voice during this time. [SEP] I think I'm more in touch with the mainstream of America
2,0,all of that increase has gone out of this country - or much of it - into the pockets of OPEC oil producers. [SEP] She doesn’t give up
1,1,"We can't dictate the terms of peace, which means that you have to be steady. [SEP] We can't put the Middle East peace process on our timetable"
0,1,"I want to bring the rates down, at the same time lower deductions and exemptions and credits and so forth. [SEP] they will be able to hire more people"
1,1,"You don’t know what’s on the ballot. [SEP] That’s on the ballot as well and the court, in the court"
0,1,We had to get their permission. [SEP] we went in there alone
2,0,Hawaii does it. [SEP] How do we do what he has advocated without causing great distress within our own county
1,1,The president blocked it. [SEP] we're asking to be able to allow you to get them
0,1,We want to reform the Medicare system to make certain the benefits are there for our senior citizens. [SEP] Governor Bush and I want to pursue the new course
1,1,"Mr. President, you're batting 0 for 2.. [SEP] Cutting 500,000 kids from after-school programs"
2,0,I left on June 11th. [SEP] I think it's important to recognize that he has been criticizing our government for decades
0,1,We preserved it. [SEP] your Social Security is going to be there when you retire
0,1,"he was in meeting after meeting listening to Secretary Shultz and Secretary Weinberger opposing that, and yet he supported it. [SEP] it didn't stop him from endorsing the sale of arms to the Ayatollah"
2,0,"I served for eight years in the House of Representatives and I served on the Intelligence Committee, specialized in looking at arms control. [SEP] I think the American people would be willing to make those sacrifices for peace and prosperity in the next uh - four years"
2,0,They want to know that their president and their vice president will keep them safe. [SEP] we have had to strengthen the military and we're well on the way to getting that job done
2,0,"There's mostly public housing. [SEP] I want to make sure that regulators see their job as encouraging small business, not crushing it"
0,1,It was supported to the Congress and under the law. [SEP] I support what we're doing
2,0,I know what it takes to create good jobs again. [SEP] That proposal was turned down by the administration - a proposal presented by its own administrator
0,1,"I was secretary of state, I went around the world advocating for our country, but also advocating for women’s rights, to make sure that women had a decent chance to have a better life and negotiated a treaty with Russia to lower nuclear weapons.. for 30 years, I’ve produced results for people"
1,1,"As I indicated, our objectives are to replace Assad and to have in place a new government which is friendly to us, a responsible government, if possible. [SEP] I do not want to see a military involvement on the part of our -- of our troops"
2,0,"you look at Dallas, where the relationships were really studied, the relationships were really a beautiful thing, and then five police officers were killed one night very violently. [SEP] there isn't a better way of dealing with the preexisting conditions problem"
2,0,Are we going to have religious tests when people fly into our country. [SEP] I don't think that that's a proper objective in trying to clean up this environment
1,1,"thank goodness we've always had enough people who have been willing in every generation to push past the fear of a broken heart and become deeply involved in forming a more perfect union. [SEP] if they invest their hopes and allow themselves to believe, then they're gonna be let down and disappointed"
2,0,"hey passed this act all the way back in the beginning of the summer.. [SEP] The Soviets with 1,200 of these things, and the alliance with none"
0,1,"I also object, when I am told, that the Reverend Falwell has been told that he would pick two of our Supreme Court justices.. That's going a little bit far"
0,1,"we've got good economists on the West Coast, Michael Boskin and Marty Feldstein up there. [SEP] who's a very respected economist in the - Massachusetts"
0,1,Dodd-Frank didn't anticipate putting in place the kinds of regulations you have to have. [SEP] It's hurt the housing market
1,1,"in my view, this is not the answer to the problem. [SEP] It will come from the pockets of the people"
0,1,"In Iraq, we'll be having free elections. [SEP] Freedom is on the march"
0,1,"we are to be that shining city on a hill, as President Reagan so beautifully said, that we are a beacon of hope and that we are unapologetic here.. That worldview that says that America is a nation of exceptionalism."
2,0,"put more pressure on the Afghan government to do what it needs to do, eliminate some of the drug trafficking that's funding terrorism. [SEP] I'm trying to save your Medicare"
0,1,"when I used to go home my mother would tell me all I've got is my Social Security, don't touch it. [SEP] we didn't touch it"
0,1,"We had a recession in fifty-eight. [SEP] My judgment is that the Republican party has stood still here in the United States, and it's also stood still around the world"
0,1,"It's an important priority. [SEP] we're going to say to our seniors, our promises we've made to you will be promises kept"
1,1,"That's going to help. [SEP] as opposed to Barack Obama's plan to mandate health care coverage and have this universal government run program and unless you're pleased with the way the federal government has been running anything lately, I don't think that it's going to be real pleasing for Americans to consider health care being taken over by the feds"
0,1,"economy with 50 percent of kids graduating from college that can't finds a job, or a college level job, that's not what we have to have. [SEP] I know what a working economy looks like"
0,1,greatness is not something that is written on a campaign poster. [SEP] It will not be our ambition that will determine it
2,0,"Mr. Noriega was there. [SEP] it is to that great task, if we're successful, that we will address ourselves."
2,0,the surest way to protect marriage between a man and woman is to amend the Constitution. [SEP] Mr. Bush has been critical of me for that
2,0,"I also object, when I am told, that the Reverend Falwell has been told that he would pick two of our Supreme Court justices.. we're entitled because of the laws that people like her passed to take massive amounts of depreciation on other charges"
2,0,"they need more tax relief. [SEP] I think you see, I am one who I get kidded by being a little old fashioned on these things"
0,1,"We remember what it was like when we had a spending president and a spending Congress, and interest rates. [SEP] We don't want to go back to that"
2,0,"he just lifted martial law. [SEP] If I say yes, then that means that we're reigniting the old Cold War"
2,0,There is a man here tonight named George McKinney from Milwaukee. [SEP] I'm very proud of it
2,0,"I also think that we should give visas to people -- green cards, rather, to people who graduate with skills that we need. [SEP] You'll have 4 million people who will lose Medicare Advantage"
2,0,"The United Nations, Kofi Annan offered help after Baghdad fell. [SEP] And we never picked him up on that and did what was necessary to transfer authority and to transfer reconstruction. [SEP] I want to fight for them"
0,1,Together we can get anything done. [SEP] You bet your hat we can govern
0,1,"Here's the only problem: Your employer now has to pay taxes on the health care that you're getting from your employer. [SEP] if you end up losing your health care from your employer, you've got to go out on the open market and try to buy it"
2,0,You don't think it's right to prohibit a kid from praying in schools. [SEP] I served my country in Vietnam
2,0,I won't be talking about it to the press or I won't be knifing him in the back by leaking to make me look good and complicate the problems of the president of the United States. [SEP] Every system that is verifiable should be placed on the table for negotiations for an agreement
0,1,I certainly don't want to go back to the policies of the last four years. [SEP] It hasn't worked
2,0,They don't believe in free elections. [SEP] I believe that this country is electing more and more African Americans and Latinos and Asian Americans who are representing districts that are themselves not necessarily of a majority of their race
0,1,"If they can't get a loan, that means that they can't make payroll. [SEP] If they can't make payroll, then they may end up having to shut their doors and lay people off"
0,1,You said that there was no history of violence between Shia and Sunni. [SEP] You were wrong
2,0,what I support is the police having the opportunity to deal with the problems they face. [SEP] we've got to get it right in the education system
0,1,there's been no consideration of it. [SEP] This is an issue they've brought up
0,1,who is resolute. [SEP] They don't need the vice president or the president to tell them what they saw
0,1,Afterwards they pay 64%. [SEP] This is a fair plan
2,0,"we formed a historic coalition, and we brought him down, and we destroyed the 4th largest army. [SEP] That is the accepted procedure between nations"
2,0,No longer do we give the image of being on the rise. [SEP] I don't think he should say that our prestige is at an all-time low
0,1,"First, after each of my foreign trips I have made recommendations that have been adopted. [SEP] It would be rather difficult to cover them in eight and- in two and a half minutes"
1,1,"Now you judge for yourselves whether or not that's fair. [SEP] if everyone here in this audience was dead on in the middle of the middle-class, then the tax cuts for every single one of you all added up would be less than the tax cut his plan would give to just one member of that top wealthiest 1%"
2,0,"first, he was going to dig a racetrack and have it going around in the racetrack so it would meet the requirements of SALT II treaty. [SEP] He's indicating that we should fight for these islands come what may because they are, in his words, in the area of freedom"
0,1,"Now there are some 10,000 centrifuges spinning uranium, preparing to create a nuclear threat to the United States and to the world. [SEP] All of these things suggested, I think, to the Iranian mullahs that, hey, you know, we can keep on pushing along here, we can keep talks going on, we're just going to keep on spinning centrifuges"
2,0,I support it. [SEP] the president of South Korea went back to South Korea bewildered and embarrassed
0,1,The captains are leaving the service. [SEP] The warning signs are real
2,0,"The killer -- the mastermind of the September 11th attacks, Khalid Sheik Mohammed, is in prison. [SEP] we would not have won the Cold War"
2,0,if that quote was wrong. [SEP] It’s not on the ballot.
2,0,"We do n't get to choose, and we shouldn't be able to choose and say you get to live free and you don't. [SEP] The president rushed our nation to war without a plan to win the peace"
0,1,"when they have to try to purchase drugs they do so on their own, there's no kind of collective bargaining, no power of purchasing among seniors. [SEP] I think one of the problems we have, particularly for seniors, is there is no prescription drug coverage in Medicare"
2,0,It encourages them to begin a war. [SEP] This is the craziest plan that anybody has ever seen.
0,1,which is making great progress and can produce a vehicle that can get 80 miles per gallo. [SEP] Aimed at a partnership for a new generation of vehicles with the American automobile industry
2,0,here's what I would do. [SEP] People in the highest office of the land must be responsible for decisions they make in life
0,1,if guilt is established. [SEP] we're not in the habit of assigning guilt before there has been proper evidence produced and proof of that guilt
0,1,You'll have hospital and providers that'll no longer accept Medicare patients. [SEP] You'll have 4 million people who will lose Medicare Advantage
2,0,almost all economists who've looked at it say that if you cut the deficit this much this quick. [SEP] it's a big problem
2,0,"We are working with countries in the region to make sure, for example, that ships can pass through; that commerce continues. [SEP] that's one of the reasons why it's in our interest"
2,0,we saw it in Rumania. [SEP] The Secretary of Defense himself said it would be a suicide mission if it were built
0,1,"I'm going to have a top down review at the Pentagon, not a bottom up review. [SEP] I want a top down review to determine what our priorities are and what we should do in defense"
2,0,"But as occurred at the end of the con- Democratic Convention, the Republican Party unified itself. [SEP] I also believe that it is -- one of the reasons we can't do it is we're overextended"
1,1,the facts are facts and records are records. [SEP] That's absolutely not true
0,1,"There's only been one governor ever elected to back-to-back four-year terms, and that was me. [SEP] people know I'm a conservative person and a compassionate person"
0,1,Bad cops are bad for good cops.. [SEP] I know what I’m talking about.
2,0,I've spent my whole adult life very close to the military. [SEP] We also want to say that insofar as is humanly possible the banking industry itself should pay for the cost of any bank failures
2,0,that's quite different than meeting with the president of the United States. [SEP] our country has the slowest growth and jobs are a disaster
0,1,"in the meantime, the special prosecutor, within the last few days, after an investigation himself, said there was no reason for him to get involved because he found nothing that would justify it. [SEP] I think the matter is settled once and for all"
0,1,We can't get this economy going. [SEP] I think America is seeing right now the reason this nation is in gridlock
0,1,I pray for strength. [SEP] I pray for wisdom. [SEP] I pray for our troops in harm's way. [SEP] I pray for my family. [SEP] I pray for my little girls.. my faith is a very -- it's very personal
0,1,I don't believe that bureaucrats in Washington should tell someone whether they can use contraceptives or not. [SEP] the president's statement of my policy is completely and totally wrong
2,0,"ohn tells us that first, we've got to reduce spending before we can reduce taxes. [SEP] my opponent says he's going to try to change the dynamics on the ground"
2,0,I promise you I will keep mine. [SEP] I'm pledged to do that
0,1,Let me tell you what I tried to do about it. [SEP] I appointed a four-star general who led our efforts south of the border to keep drugs from coming into the country as our nation's drug czar
2,0,That was a disaster. [SEP] I'm in favor of testing as a way of measuring performance
2,0,You got the double meaning there. [SEP] He has not done healthcare
0,1,"which means they're spending more money, businesses have more customers, businesses make more profits, and then hire more workers. [SEP] They are certainly in a better position to weather the extraordinary recession that we went through"
2,0,I think there are a number of issues that we should be addressing. [SEP] She talks about taxes
0,1,We ought to deal with each of these countries separately. [SEP] I think the essential strategy of the United States ought not accept any Soviet control over Eastern Europe
2,0,just yesterday the Duelfer report told you and the whole world they worked. [SEP] We should encourage that
2,0,we're on the track on this one. [SEP] We have been wholly indifferent to Latin America until the last few months
2,0,That's not how it's going. [SEP] we have to enforce the laws we've already got
2,0,we gave them a chance to restore democracy. [SEP] our priorities make a difference
0,1,he said it was not and should not be subject to partisan demagoguery because it was too important for the United States or for the world. [SEP] Mr. Bush was a lot more sympathetic to the freeze than he seems to be today
2,0,"we think lawsuit abuse is a serious problem in this country. [SEP] I have a proud record of working with both Republicans and Democrats, which is what our nation needs"
0,1,Five million people lost their homes. [SEP] we have come back from that abyss
0,1,"at the same time, we're maintaining a detente with the one nation in the world where there are no human rights at all - the Soviet Union. [SEP] I think that this is a kind of a hypocritical policy"
2,0,the Embassy was blown up a few weeks ag. [SEP] those three have now lined up because of our weak foreign policy
2,0,They gave peace a chance. [SEP] there's no control over what you do with that money
0,1,He said that there could be secretary-level and lower level meetings. [SEP] Dr. Kissinger did not say that he would approve of face-to- face meetings between the president of the United States and the president -- and Ahmadinejad
1,1,I've made a different bet on American workers. [SEP] you invested in companies that were shipping jobs overseas
0,1,"Ann was with someone just the other day that was just weeping about not being able to get work. [SEP] It's just a tragedy in a nation so prosperous as ours, that the last four years have been so hard"
1,1,It is mathematically possible. [SEP] Not mathematically possible
1,1,"If affirmative action means quotas, I'm against it. [SEP] that's a red herring"
0,1,"now in the 1980s and 1984 when they can get our of the country to escape communism so they can come here and practice their religion. [SEP] I believe very, very sincerely in the separation of church and state"
2,0,"his entire life he has never forgotten where he came from, coming from Scranton, fighting on behalf of working families, remembering what it's like to see his father lose his job and go through a downward spiral economically. [SEP] my whole concept was to make America great again"
2,0,"While the secretary of state's in one country, there are almost a hundred and fifty others that are wondering what we're gonna do next, what will be the next secret agreement. [SEP] He voted 98 times to raise taxes"
0,1,There's been a consistent policy on the part of this administration to lower or delay enforcement of air pollution standards and water pollution standards. [SEP] This uh - administration's record on environment is very bad
0,1,"John McCain said exactly what Dick Cheney said, go back and look at Barack Obama's statements and mine. [SEP] Go look at joebiden.com, contemporaneously, held hearings in the summer before we went to war, saying if we went to war, we would not be greeted as liberator,"
