text,label,label_value,prediction
"a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, Governor, I need help [SEP] We're providing that young woman with help",1,support,support
We're providing that young woman with help [SEP] Governors like me and others have been trying to deal with the consequences,1,support,support
"who makes sure that we never again do business with a drug-running Panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers [SEP] we are with a government that's been dealing with a drug-running Panamanian dictator",0,attack,support
"who makes sure that we never again do business with a drug-running Panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers [SEP] Values begin at the top, in the White House",1,support,support
"it's important that our leaders demonstrate those values from the top [SEP] Values begin at the top, in the White House",1,support,support
"those of us who are elected to positions of political leadership have to reflect those values ourselves [SEP] Values begin at the top, in the White House",1,support,support
"Those are the values I want to bring to the presidency and to the White House beginning in January of 1989 [SEP] Values begin at the top, in the White House",1,support,support
"those of us who are elected to positions of political leadership, Jim, have a special responsibility [SEP] I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention",1,support,support
"if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, [SEP] Mr. Bush is right - the two go hand in hand",0,attack,support
"if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, [SEP] it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country",1,support,support
it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country [SEP] say to them we want to help you,1,support,support
"I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention [SEP] I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January",1,support,support
"when we bring our democratic neighbors and allies together here in this hemisphere and go to work together [SEP] I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January",1,support,support
we have five percent of the world's population in this country [SEP] We're consuming 50 percent of the world's cocaine,1,support,support
We're consuming 50 percent of the world's cocaine [SEP] we also have to take demand seriously,1,support,support
my plea to the American people is values in the schools [SEP] my plea to the American people is values in the schools,1,support,support
I think we're all in this together [SEP] I think we're all in this together,1,support,support
those of us who are elected to positions of political leadership have to reflect those values ourselves [SEP] it's important that our leaders demonstrate those values from the top,1,support,support
it's important that our leaders demonstrate those values from the top [SEP] we are with a government that's been dealing with a drug-running Panamanian dictator,0,attack,support
We've been dealing with him [SEP] he's been dealing drugs to our kids,0,attack,support
Governors like me and others have been trying to deal with the consequences [SEP] it's important that our leaders demonstrate those values from the top,1,support,support
I want to be a president of the United States who makes sure that we never again do business with a drug-running Panamanian dictator [SEP] we are with a government that's been dealing with a drug-running Panamanian dictator,0,attack,support
we never again funnel aid to the contras through convicted drug dealers [SEP] I want to be a president of the United States who makes sure that we never again do business with a drug-running Panamanian dictator,1,support,support
We're providing that young woman with help [SEP] I want to be a president of the United States who makes sure that we never again do business with a drug-running Panamanian dictator,1,support,support
"I want to be a president of the United States who makes sure that we never again do business with a drug-running Panamanian dictator [SEP] Values begin at the top, in the White House",1,support,support
"it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country [SEP] if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people",0,attack,support
"Mr. Bush is right - the two go hand in hand [SEP] I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention",1,support,support
"I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention [SEP] if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people",0,attack,support
"we bring our democratic neighbors and allies together here in this hemisphere and go to work together [SEP] I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January",1,support,support
"I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January [SEP] we also have to take demand seriously",1,support,support
we also have to take demand seriously [SEP] We're consuming 50 percent of the world's cocaine,0,attack,support
in my state [SEP] I'm proud to say we've organized a drug education and prevention program which the Federal Drug Enforcement Administration says is a model for the country,1,support,support
I'm proud to say we've organized a drug education and prevention program which the Federal Drug Enforcement Administration says is a model for the country [SEP] We're consuming 50 percent of the world's cocaine,0,attack,support
We're helping youngsters [SEP] we're reaching out to them,1,support,support
we're reaching out to them [SEP] we're beginning with drug education and prevention beginning in the early elementary grades in every elementary school in our state,1,support,support
we're beginning with drug education and prevention beginning in the early elementary grades in every elementary school in our state [SEP] that's the kind of effort we need in every elementary school in the United States of America,1,support,support
that's the kind of effort we need in every elementary school in the United States of America [SEP] I'm proud to say we've organized a drug education and prevention program which the Federal Drug Enforcement Administration says is a model for the country,1,support,support
"we've got to begin early, in the first, second and third grade [SEP] before our youngsters begin to experiment with these very, very dangerous substances",1,support,support
"before our youngsters begin to experiment with these very, very dangerous substances [SEP] how we instill those values",1,support,support
how we instill those values [SEP] how we create this environment for the drug free schools that we want in this country,1,support,support
how we create this environment for the drug free schools that we want in this country [SEP] I'm proud to say we've organized a drug education and prevention program which the Federal Drug Enforcement Administration says is a model for the country,1,support,support
If he or representatives of the administration are either with or involving people like Noriega in our foreign policy [SEP] or don't pursue that connection in a way that makes it possible for us to cut it off and to be an example to our kids all over the country,1,support,support
how we create this environment for the drug free schools that we want in this country [SEP] or don't pursue that connection in a way that makes it possible for us to cut it off and to be an example to our kids all over the country,0,attack,support
Seven administrations were dealing with Mr. Noriega [SEP] It was the Reagan-Bush administration that brought this man to justice,1,support,support
what I'm about to say is unclassified [SEP] Seven administrations were dealing with Mr. Noriega,1,support,support
no hard evidence until we indicted him [SEP] If he or representatives of the administration are either with or involving people like Noriega in our foreign policy,0,attack,support
I think it's about time we get this Noriega matter in perspective [SEP] no hard evidence until we indicted him,1,support,support
It was the Reagan-Bush administration that brought this man to justice [SEP] I think it's about time we get this Noriega matter in perspective,1,support,support
Panama is a friendly country [SEP] I think it's about time we get this Noriega matter in perspective,1,support,support
Panama is a friendly country [SEP] I went down there and talked to the president of Panama about cleaning up their money laundering,1,support,support
Mr. Noriega was there [SEP] but there was no evidence at that time,1,support,support
"and when the evidence was there, we indicted him [SEP] but there was no evidence at that time",0,attack,support
Mr. Noriega was there [SEP] I went down there and talked to the president of Panama about cleaning up their money laundering,1,support,support
"and when the evidence was there, we indicted him [SEP] we want to bring him to justice",1,support,support
we want to bring him to justice [SEP] call off all those pickets out there that are trying to tear down seven different administrations,1,support,support
"These are American citizens, we care deeply about them [SEP] Peter, it's one of the most agonizing decisions a president has to make",1,support,support
"Their families care deeply about them, want them back and understandably so [SEP] Peter, it's one of the most agonizing decisions a president has to make",1,support,support
"Peter, it's one of the most agonizing decisions a president has to make [SEP] we want to do everything we can to bring them back",1,support,support
"if you do, it's an open invitation to other terrorists to take hostages and to blackmail us [SEP] you cannot make concessions to terrorists, ever, ever",1,support,support
"that's the tragedy of the Iran/Contra scandal [SEP] you cannot make concessions to terrorists, ever, ever",1,support,support
"you cannot make concessions to terrorists, ever, ever [SEP] we want to do everything we can to bring them back",0,attack,support
"As a matter of fact, Mr. Bush was the Chairman of a task force on international terrorism which issued a report shortly before that decision was made and said, and rightly [SEP] we never ever can make concessions to terrorists and hostage takers",1,support,support
"we never ever can make concessions to terrorists and hostage takers [SEP] you cannot make concessions to terrorists, ever, ever",1,support,support
"after sitting through meeting after meeting, he endorsed that decision, endorsed the sale of arms to the Ayatollah in exchange for hostages [SEP] we never ever can make concessions to terrorists and hostage takers",0,attack,support
"after sitting through meeting after meeting, he endorsed that decision, endorsed the sale of arms to the Ayatollah in exchange for hostages [SEP] you cannot make concessions to terrorists, ever, ever",0,attack,support
"after sitting through meeting after meeting, he endorsed that decision, endorsed the sale of arms to the Ayatollah in exchange for hostages [SEP] one of the most tragic, one of the most mistaken foreign policy decisions we've ever made in this country and I dare say encouraged others to take hostages as we now know",1,support,support
"one of the most tragic, one of the most mistaken foreign policy decisions we've ever made in this country and I dare say encouraged others to take hostages as we now know [SEP] we never ever can make concessions to terrorists and hostage takers",0,attack,support
"one of the most tragic, one of the most mistaken foreign policy decisions we've ever made in this country and I dare say encouraged others to take hostages as we now know [SEP] you cannot make concessions to terrorists, ever, ever",0,attack,support
if we do it's an open invitation to others to do the same [SEP] there can be no concessions under any circumstances,1,support,support
We've got to be tough on international terrorism [SEP] there can be no concessions under any circumstances,1,support,support
We've got to treat it as international crime [SEP] there can be no concessions under any circumstances,1,support,support
We've got to attack at all points [SEP] there can be no concessions under any circumstances,1,support,support
we've go to use undercover operations [SEP] there can be no concessions under any circumstances,1,support,support
We have to be prepared to use military force against terrorist base camps [SEP] there can be no concessions under any circumstances,1,support,support
we have to work closely with our allies to make sure that they're working with us and we with them and we can give no quarter when it comes to breaking the back of international terrorism [SEP] there can be no concessions under any circumstances,1,support,support
"t can never be because we make concessions [SEP] Yes, we should make every effort to try to help those hostages come home",1,support,support
"Yes, we should make every effort to try to help those hostages come home [SEP] That was a tragic mistake that we made, a mistake that Mr. Bush made and others made and it should never ever be made again",1,support,support
"there can be no concessions under any circumstances [SEP] That was a tragic mistake that we made, a mistake that Mr. Bush made and others made and it should never ever be made again",0,attack,support
I wrote the anti-terrorist report for this government [SEP] It is the best anti-terrorist report written,1,support,support
we have made vast improvements in our anti-terrorism [SEP] It is the best anti-terrorist report written,1,support,support
That's not true [SEP] That's not true,1,support,support
That's not true [SEP] my opponent was unwilling to support that action,0,attack,support
"Yes, we shouldn't trade arms for hostages [SEP] after sitting through meeting after meeting, he endorsed that decision, endorsed the sale of arms to the Ayatollah in exchange for hostages",0,attack,support
"it's fine to say that sometimes you have to hit base camps [SEP] when the president saw this state sponsored-fingerprints of Muammar Khadaffi on the loss of American life, he hit Libya",0,attack,support
"it's fine to say that sometimes you have to hit base camps [SEP] since that action, terrorist action against the United States citizens have gone down",1,support,support
"we have made vast improvements in our anti-terrorism [SEP] since that action, terrorist action against the United States citizens have gone down",1,support,support
"That's not true [SEP] since that action, terrorist action against the United States citizens have gone down",0,attack,support
I've said mistakes were made [SEP] I have long ago said I supported the president on this other matter,0,attack,support
I've said mistakes were made [SEP] Clearly nobody's going to think the president started out thinking he was going to trade arms for hostages,1,support,support
The matter has been thoroughly looked into [SEP] That is a very serious charge against the president,1,support,support
Clearly nobody's going to think the president started out thinking he was going to trade arms for hostages [SEP] That is a very serious charge against the president,0,attack,support
"I have long ago said I supported the president on this other matter [SEP] But the point is sometimes the action- (Laughter)   BUSH: - has to be taken by the Federal Government and when we took action, it had a favorable response",1,support,support
"since that action, terrorist action against the United States citizens have gone down [SEP] But the point is sometimes the action- (Laughter)   BUSH: - has to be taken by the Federal Government and when we took action, it had a favorable response",1,support,support
You're judged by the whole record [SEP] You're judged by the entire record.,1,support,support
You judge on the record. [SEP] You're judged by the entire record.,1,support,support
Are we closer to peace? [SEP] You're judged by the entire record.,1,support,support
Are we doing better in anti-terrorism? [SEP] You're judged by the entire record.,1,support,support
"Are we doing better in anti-terrorism? [SEP] Should we have listened to my opponent who wanted to send the UN into the Persian Gulf or in spite of the mistakes of the past, are we doing better there?",0,attack,support
How is our credibility with the GCC countries on the Western side of the Gulf [SEP] You're judged by the entire record.,1,support,support
Is Iran talking to Iraq about peace [SEP] You're judged by the entire record.,1,support,support
Are the Soviets coming out of Afghanistan? [SEP] You're judged by the entire record.,1,support,support
"How does it look in a program he called or some one of these marvelous Boston adjective up there and-about Angola-now, we have a chance-several Bostonians don't like it, but the rest of the country will understand [SEP] You're judged by the entire record.",1,support,support
Now we have a chance [SEP] I think that I'd leave it right there and say that you judge on the whole record,1,support,support
You're judged by the entire record. [SEP] I think that I'd leave it right there and say that you judge on the whole record,1,support,support
I've told you what the intelligence briefing he received said about that [SEP] all he can talk about-he goes around ranting about Noriega,1,support,support
all he can talk about-he goes around ranting about Noriega [SEP] He can talk about Iran/Contra,1,support,support
"I'll make a deal with you, I will take the blame for those two incidents if you give me half the credit for all the good things that have happened in world peace since Ronald Reagan and I took over from the Carter administration [SEP] He can talk about Iran/Contra",0,attack,support
"I'll make a deal with you, I will take the blame for those two incidents if you give me half the credit for all the good things that have happened in world peace since Ronald Reagan and I took over from the Carter administration [SEP] all he can talk about-he goes around ranting about Noriega",0,attack,support
the matter of judgment is very important [SEP] I think it's important to understand what happened here,1,support,support
A report on international terrorism chaired by the Vice President was released and made some very specific recommendations about how to deal with terrorism [SEP] I think it's important to understand what happened here,1,support,support
They were ignored [SEP] A report on international terrorism chaired by the Vice President was released and made some very specific recommendations about how to deal with terrorism,0,attack,support
The Vice President ignored them [SEP] A report on international terrorism chaired by the Vice President was released and made some very specific recommendations about how to deal with terrorism,0,attack,support
They were ignored [SEP] The Vice President ignored them,1,support,support
He says mistakes were made [SEP] Very serious mistakes in judgment were made,1,support,support
Very serious mistakes in judgment were made [SEP] I think it's important to understand what happened here,0,attack,support
"Well, let's concede that the administration has been doing business with Noriega [SEP] Has made him a part of our foreign policy and has been funneling aid to Contras through convicted drug dealers",1,support,support
"I think those are very very serious questions of judgment, which those of you who are watching us here tonight have a right to judge and review [SEP] Has made him a part of our foreign policy and has been funneling aid to Contras through convicted drug dealers",0,attack,support
"We're not going to make those kinds of mistakes [SEP] I think those are very very serious questions of judgment, which those of you who are watching us here tonight have a right to judge and review",0,attack,support
You cannot make concessions to terrorists [SEP] We're not going to make those kinds of mistakes,1,support,support
"If you do, you invite the taking of more hostages [SEP] You cannot make concessions to terrorists",1,support,support
That's a basic principle [SEP] You cannot make concessions to terrorists,1,support,support
You cannot make concessions to terrorists [SEP] It was ignored in that case and it was a very very serious mistake in judgment,0,attack,support
It was ignored in that case and it was a very very serious mistake in judgment [SEP] Very serious mistakes in judgment were made,1,support,support
I see a man who is young [SEP] I am putting my confidence in a whole generation of people that are in their 30Ï€s and 40Ï€s,1,support,support
I see a young man that was elected to the Senate twice [SEP] to the House of Representatives twice,1,support,support
to the House of Representatives twice [SEP] I see a man who is young,1,support,support
I see a young man who is a knowledgeable-in defense and there are three people on our ticket that are knowledgeable-in the whole-in the race-knowledgeable in defense [SEP] Dan Quayle is one of them and I am one of them,1,support,support
I believe that he will be outstanding [SEP] Dan Quayle is one of them and I am one of them,1,support,support
I am putting my confidence in a whole generation of people that are in their 30Ï€s and 40Ï€s [SEP] Dan Quayle is one of them and I am one of them,1,support,support
I see a man that took the leadership in the Job Training Partnership Act and that retrains people in this highly competitive changing society we're in [SEP] if a person loses his hob he is retrained for a benefit-for a-work that will be productive and he won't have to go on one of these many programs that the liberal-talking about,1,support,support
if a person loses his hob he is retrained for a benefit-for a-work that will be productive and he won't have to go on one of these many programs that the liberal-talking about [SEP] Dan Quayle is one of them and I am one of them,1,support,support
he'll have the confidence of people that are in their 30Ï€s and 40Ï€s and more [SEP] judge the man on his record not on the-lot of rumors and innuendo and trying to fool around with his name,1,support,support
he has my full confidence [SEP] judge the man on his record not on the-lot of rumors and innuendo and trying to fool around with his name,1,support,support
he will do very very well [SEP] judge the man on his record not on the-lot of rumors and innuendo and trying to fool around with his name,1,support,support
he's kept his head up [SEP] judge the man on his record not on the-lot of rumors and innuendo and trying to fool around with his name,1,support,support
judge the man on his record not on the-lot of rumors and innuendo and trying to fool around with his name [SEP] he took a tremendous pounding and everybody now knows that he took a very unfair pounding,0,attack,support
Dan Quayle is one of them and I am one of them [SEP] judge the man on his record not on the-lot of rumors and innuendo and trying to fool around with his name,1,support,support
he took a tremendous pounding and everybody now knows that he took a very unfair pounding [SEP] I'd like each person to say did I jump to conclusions running down rumors that were so outrageous and so brutal,0,attack,support
"Danforth was, he was a man who gave his life in World War II [SEP] ridiculing a person's name is a little beneath this process",1,support,support
ridiculing a person's name is a little beneath this process [SEP] he took a tremendous pounding and everybody now knows that he took a very unfair pounding,0,attack,support
judge the man on his record not on the-lot of rumors and innuendo and trying to fool around with his name [SEP] he'll do very well when we get into the debates,1,support,support
"when it comes to ridicule, George, you win a gold medal [SEP] ridiculing a person's name is a little beneath this process",0,attack,support
"when it comes to ridicule, George, you win a gold medal [SEP] I think we can agree on that in the course of this campaign",1,support,support
"I think the American people have a right to judge us on this question, on how we picked a running mate, a person who is a heartbeat away from the presidency [SEP] I think the debate ought to be between you and Lloyd",0,attack,support
"I picked Lloyd Bentsen, distinguished, strong, mature, a leader in the Senate, somebody whose qualifications nobody has questioned [SEP] I think the American people have a right to judge us on this question, on how we picked a running mate, a person who is a heartbeat away from the presidency",1,support,support
I doubt very much that Dan Quayle was the best qualified person for that job [SEP] Mr. Bush picked Dan Quayle,0,attack,support
I think for most people the notion of President Quayle is a very very troubling thought [SEP] I doubt very much that Dan Quayle was the best qualified person for that job,1,support,support
"John, I'm a man that's been a chief executive for ten years [SEP] I've picked a lot of people",1,support,support
"John, I'm a man that's been a chief executive for ten years [SEP] I've picked cabinets",1,support,support
"John, I'm a man that's been a chief executive for ten years [SEP] I've named judges",1,support,support
I've named judges [SEP] I know that the people you pick make an enormous difference in your ability to govern,1,support,support
I've picked cabinets [SEP] I know that the people you pick make an enormous difference in your ability to govern,1,support,support
I've picked a lot of people [SEP] I know that the people you pick make an enormous difference in your ability to govern,1,support,support
I set high standards [SEP] I know that the people you pick make an enormous difference in your ability to govern,1,support,support
"I try to meet them and I insist that people who work for me meet them, if they don't, they don't stick around very long [SEP] I set high standards",1,support,support
I didn't pick Lloyd Bentsen [SEP] he was a clone of Mike Dukakis,0,attack,support
"he was somebody who would be a strong Vice President, somebody who would be an active Vice President [SEP] I picked him",1,support,support
"Somebody who would come to me if somebody came up with a crazy idea that we ought to trade arms to the Ayatollah for hostages and say, â‰¥Mr. President, that's wrong [SEP] he was somebody who would be a strong Vice President, somebody who would be an active Vice President",1,support,support
"We shouldn't do that [SEP] Somebody who would come to me if somebody came up with a crazy idea that we ought to trade arms to the Ayatollah for hostages and say, â‰¥Mr. President, that's wrong",0,attack,support
We shouldn't do that [SEP] That's the kind of Vice President I want,1,support,support
I know that the people you pick make an enormous difference in your ability to govern [SEP] That's the kind of Vice President I want,1,support,support
"He, himself, has said, and rightly so, that he'll be a strong Vice President [SEP] When the Vice President makes a decision, that will be his decision",1,support,support
"When the Vice President makes a decision, that will be his decision [SEP] I'm very very proud of that choice",1,support,support
I'm very very proud of that choice [SEP] That's the kind of Vice President I want,1,support,support
I didn't pick him [SEP] he agreed with me on everything,0,attack,support
Sam Rayburn once said that if two people agree on everything then only one person is doing the thinking [SEP] he agreed with me on everything,0,attack,support
I doubt very much [SEP] I doubt very much that Mr. Bush's selection for the Vice Presidency of the United States meets that test,1,support,support
"The fact is I've picked somebody who not only will be a great Vice President, but if, God forbid, something happens to the president, could step into that office and do so with distinction and with strength and with leadership [SEP] I doubt very much that Mr. Bush's selection for the Vice Presidency of the United States meets that test",1,support,support
"I'm very very proud of that choice [SEP] The fact is I've picked somebody who not only will be a great Vice President, but if, God forbid, something happens to the president, could step into that office and do so with distinction and with strength and with leadership",1,support,support
I doubt very much that Mr. Bush's selection for the Vice Presidency of the United States meets that test [SEP] I doubt very much that Dan Quayle was the best qualified person for that job,1,support,support
we obviously have a difference [SEP] I believe it does meet the test,1,support,support
I believe it does meet the test [SEP] I doubt very much that Mr. Bush's selection for the Vice Presidency of the United States meets that test,0,attack,support
I had hoped this had been a little friendlier evening [SEP] I wanted to hitchhike a ride home in his tank with him,1,support,support
we've got the lines too carefully drawn here [SEP] I wanted to hitchhike a ride home in his tank with him,0,attack,support
I don't think this is a fair argument [SEP] jumping all over the president on his decision on one area of farm policy,0,attack,support
I don't think this is a fair argument [SEP] What kind of judgment sense has your chief education adviser now in jail in Massachusetts?,0,attack,support
I support my nominee for Vice President [SEP] he'll do an outstanding job,1,support,support
he'll do an outstanding job [SEP] I believe it does meet the test,1,support,support
I think we have to go to work on the problem of Third World debt [SEP] we've got to assist those Third World countries in dealing with this massive debt which they currently-which they have incurred and which is burdening them,1,support,support
"we've got to assist those Third World countries in dealing with this massive debt which they currently-which they have incurred and which is burdening them [SEP] if we don't do something about it and assist them along with other nations around the world, we'll destroy their economies, destroy their future",1,support,support
"if we don't do something about it and assist them along with other nations around the world, we'll destroy their economies, destroy their future [SEP] at the same time will destroy markets that are important to our farmers",1,support,support
"thanks to the Congress we now have an agricultural credit bill which is helping and improving the situation with at least some of our farmers [SEP] I think it's going to require good, solid credit policies",1,support,support
at the same time will destroy markets that are important to our farmers [SEP] I also believe we need an agricultural policy which doesn't cost us 15 to 20 to 25 billion dollars a year,1,support,support
I also believe we need an agricultural policy which doesn't cost us 15 to 20 to 25 billion dollars a year [SEP] it's been costing us over the course of the past three or four years under this administration,0,attack,support
"I think it's going to require good, solid credit policies [SEP] I also believe we need an agricultural policy which doesn't cost us 15 to 20 to 25 billion dollars a year",1,support,support
"I think it's going to require a combination of supply management and reasonable price supports to make sure that our farmers get a decent price [SEP] I think it also is going to require an administration that understand that there are tremendous opportunities out there for the development of new uses for agricultural products, new uses which can help us to clean up our environment at the same time",1,support,support
"I think it's going to require good, solid credit policies [SEP] I think it also is going to require an administration that understand that there are tremendous opportunities out there for the development of new uses for agricultural products, new uses which can help us to clean up our environment at the same time",1,support,support
"Bio-degradable plastics-plastic-gasohol, which the Vice President has been involved in, road de-icers made from corn products [SEP] I think it also is going to require an administration that understand that there are tremendous opportunities out there for the development of new uses for agricultural products, new uses which can help us to clean up our environment at the same time",1,support,support
"I mean, there are enormous opportunities out there to expand markets and to build a strong future for our farmers [SEP] I think it also is going to require an administration that understand that there are tremendous opportunities out there for the development of new uses for agricultural products, new uses which can help us to clean up our environment at the same time",1,support,support
"I mean, there are enormous opportunities out there to expand markets and to build a strong future for our farmers [SEP] I don't think there's anything mutually exclusive or contradictory about building a strong farm economy in this country and assisting our family farms and providing a good strong future for rural communities and for rural America and at the same time working on Third World debt",1,support,support
"As a matter of fact, Mexico, itself, is one of our biggest agricultural customers [SEP] I don't think there's anything mutually exclusive or contradictory about building a strong farm economy in this country and assisting our family farms and providing a good strong future for rural communities and for rural America and at the same time working on Third World debt",1,support,support
in the sense that we can work to help Mexico rebuild and expand and deal with these very serious economic problems we help our farmers at the same time [SEP] I don't think there's anything mutually exclusive or contradictory about building a strong farm economy in this country and assisting our family farms and providing a good strong future for rural communities and for rural America and at the same time working on Third World debt,1,support,support
"As a matter of fact, Mexico, itself, is one of our biggest agricultural customers [SEP] in the sense that we can work to help Mexico rebuild and expand and deal with these very serious economic problems we help our farmers at the same time",1,support,support
I oppose supply management and production controls [SEP] I think it's going to require a combination of supply management and reasonable price supports to make sure that our farmers get a decent price,0,attack,support
"I support the farm bill, the 1985 farm bill and spending is moving in the right direction [SEP] I oppose supply management and production controls",0,attack,support
I want to expand our markets abroad and that's why I've called for that first economic summit to be on agriculture [SEP] I will not go back to the way the Democrats did it and used food as a political weapon and throw a grain embargo on the farmers in this country,0,attack,support
I oppose supply management and production controls [SEP] I will not go back to the way the Democrats did it and used food as a political weapon and throw a grain embargo on the farmers in this country,0,attack,support
I want to see rural redevelopment [SEP] I have been out front in favor of alternate sources of energy and one of them is gasohol and comes from using your corn,1,support,support
I have been out front in favor of alternate sources of energy and one of them is gasohol and comes from using your corn [SEP] I think we can do better in terms of biodegradable for a lot of product,1,support,support
I think we can do better in terms of biodegradable for a lot of product [SEP] I'm optimistic about the agricultural economy,1,support,support
I'm optimistic about the agricultural economy [SEP] I want to expand our markets abroad and that's why I've called for that first economic summit to be on agriculture,1,support,support
"I want to see market economies spring up all around the world and to the degree they do [SEP] In terms of the Third World, I support the Baker plan",1,support,support
we are succeeding [SEP] I want to see market economies spring up all around the world and to the degree they do,1,support,support
I would oppose that [SEP] I don't want to see the banks let off the hook,0,attack,support
I'm optimistic about the agricultural economy [SEP] I think were on the right track in agriculture and I am very very encouraged,1,support,support
let's not go back to that-what they call supply management and production control [SEP] I oppose supply management and production controls,1,support,support
let's not go back to that-what they call supply management and production control [SEP] I think it's going to require a combination of supply management and reasonable price supports to make sure that our farmers get a decent price,0,attack,support
that'll simply price us out of the international market [SEP] let's not go back to that-what they call supply management and production control,1,support,support
Let's try to expand our markets abroad [SEP] I want to expand our markets abroad and that's why I've called for that first economic summit to be on agriculture,1,support,support
Let's try to expand our markets abroad [SEP] let's not go back to that-what they call supply management and production control,0,attack,support
But there are two main focal points of this election [SEP] Opportunity and peace,1,support,support
Opportunity and peace [SEP] I want to keep this expansion going,1,support,support
"we are the change [SEP] Yes, we want change",0,attack,support
I am the change [SEP] we are the change,1,support,support
we are the change [SEP] I don't want to go back to malaise and misery index,1,support,support
I am the change [SEP] I don't want to go back to malaise and misery index,1,support,support
"so, opportunity [SEP] Keep America at work",1,support,support
Opportunity and peace [SEP] Keep America at work,1,support,support
The best poverty program is a job with dignity in the private sector [SEP] Keep America at work,1,support,support
"We've achieved an arms control agreement that our critics thought was never possible [SEP] in terms of peace, we are on the right track",1,support,support
"I want to build on it [SEP] in terms of peace, we are on the right track",1,support,support
I want to see us finalize that START agreement [SEP] I want it to be the one to finally lead the world to banishing chemical and biological weapons,1,support,support
"I want it to be the one to finally lead the world to banishing chemical and biological weapons [SEP] in terms of peace, we are on the right track",1,support,support
"I want to see asymmetrical reductions in conventional forces [SEP] in terms of peace, we are on the right track",1,support,support
on tough sentencing of drug king pins and this kind of thing [SEP] I do favor the death penalty,1,support,support
"Who has the values I believe in? [SEP] Who has the integrity and stability to get the job done?â‰¤ My fellow Americans, I am that man and I ask for your support",1,support,support
"Who has the experience that we trust? [SEP] Who has the integrity and stability to get the job done?â‰¤ My fellow Americans, I am that man and I ask for your support",1,support,support
providing we have the kind of leadership in Washington that can work with you [SEP] I'm more optimistic today than I was when I began about this nation,0,attack,support
that can build partnerships [SEP] providing we have the kind of leadership in Washington that can work with you,1,support,support
"hat can build jobs in every part of this country, [SEP] providing we have the kind of leadership in Washington that can work with you",1,support,support
"hat can build jobs in every part of this country, [SEP] not certain parts of this country",0,attack,support
"my friends, my parents came to this country as immigrants like millions and millions of Americans before them and since, seeking opportunities, seeking the American dream [SEP] They made sure their sons understood that this was the greatest country in the world",1,support,support
They made sure their sons understood that this was the greatest country in the world [SEP] that those of us especially who were the sons and daughters of immigrants had a special responsibility to give something to the country that had opened up its arms to our parents and given so much to them,1,support,support
that those of us especially who were the sons and daughters of immigrants had a special responsibility to give something to the country that had opened up its arms to our parents and given so much to them [SEP] I believe in the American dream.,1,support,support
I'm a product of it and I want to help that dream come true for every single citizen in this land [SEP] I believe in the American dream.,1,support,support
with a good job and good wages [SEP] I'm a product of it and I want to help that dream come true for every single citizen in this land,1,support,support
with good schools in every part of this country and every community in this country [SEP] I'm a product of it and I want to help that dream come true for every single citizen in this land,1,support,support
"With decent and affordable housing that our people can buy and own and live in, so that we end the shame of hopelessness in America. [SEP] I'm a product of it and I want to help that dream come true for every single citizen in this land",1,support,support
With decent and affordable healthcare for all working families [SEP] I'm a product of it and I want to help that dream come true for every single citizen in this land,1,support,support
"I'm a product of it and I want to help that dream come true for every single citizen in this land [SEP] Yes, it's a tough problem as Mr. Bush says",0,attack,support
but itÏ€s not an insolvable problem [SEP] I'm a product of it and I want to help that dream come true for every single citizen in this land,1,support,support
"but itÏ€s not an insolvable problem [SEP] Yes, it's a tough problem as Mr. Bush says",0,attack,support
It's one that we will solve and must solve [SEP] but itÏ€s not an insolvable problem,1,support,support
"with a clean and wholesome environment and with a strong America that's strong militarily and economically as we must be, an America that provides strong international leadership because we're true to our values. [SEP] It's one that we will solve and must solve",1,support,support
"with a clean and wholesome environment and with a strong America that's strong militarily and economically as we must be, an America that provides strong international leadership because we're true to our values. [SEP] We compete",1,support,support
The best America [SEP] We compete,1,support,support
The best America doesn't leave some of its citizens behind [SEP] We invest.,1,support,support
