text,label,response
"As the hon. Gentleman rightly says, there is cross-party agreement across Reading about the concept of Crossrail, but will he join me in opposing a metro stopping service that reduces space for commuter trains and reduces freight? My brief comments will be about Crossrail and Reading station, which is in my constituency. As I have said many times before, nobody doubts that the construction of an east-west rail link in London will have powerful economic advantages and benefits for London, so in that regard I strongly support Crossrail and certainly do not want to stand in the way of its progress. However, Crossrail's significance for us to the west of London much depends on what we get from it. If Crossrail were to contribute to unplugging the bottlenecks on the national rail network through much-needed funding for Reading station, I should support it. If it were to bring more fast and semi-fast commuter services to London, I should support and welcome it. If it were to provide a link to Heathrow, as the hon. Member for Reading, West said, I should welcome it. That is the type of Crossrail that I should like to see terminating in Reading, East. However, that does not seem to be the proposal that we shall actually get. It looks as though it will be a metro service that stops at every little station between Reading and London, which means that there will be fewer fast and semi-fast commuter services than at present. Such a metro service will force freight on to the roads. It will not have a link to Europe's most important airport. The scheme will be expensive but will add nothing positive to the transport infrastructure in the west of London; it will reduce capacity in the infrastructure rather than positively benefit it. Crossrail could be fantastic for Reading, but we do not want it at any cost. I hope that the Secretary of State hears that loud and clear.",Positive,Negative
"I agree with the Secretary of State about drawing attention to the importance of local government. Will he explain why Liverpool, with its high deprivation and low tax base, has now lost more than 60% of its central Government funding? Does the Secretary of State recognise that although the package he has put forward is a welcome step, it will go nowhere near addressing the major crisis in social care from which the people in Liverpool are suffering? nan nan nan",Negative,Output: Positive
"I want to address three issues in the short time available to me. First, this election is happening in the midst of political discussions in Northern Ireland about the formation of an Executive. That is unfortunate. I want to make it clear that, as far as our party is concerned, we are responding positively to the Secretary of State's request for discussions to continue in Northern Ireland. We have made it clear–along with the Social Democratic and Labour party and the Ulster Unionists–that we are ready to form an Executive. We do not believe in setting red lines or preconditions about important matters such as health and education funding and the future of public services in our Province. Those things are far more important than some of the issues that are now said to divide us, so we are ready to get the Executive up and running today, next week or whenever. We do not need prolonged negotiations. Secondly, on Brexit, Northern Ireland's position is different from that of the rest of the United Kingdom. That has been made clear in the Government's paper, which recognises our special circumstances. It is absolutely imperative that Northern Ireland's voice is heard very strongly. That is why it is such a tragedy that Sinn Féin has walked away from the Executive, collapsed the Assembly and forced us into an unnecessary Assembly election, while boycotting this place and demanding special status, which has been rejected by the Irish Republic, the European Union and even the European Parliament when it set out its negotiating position. Nobody accepts the need for special status, although we agree with the need for special arrangements that recognise Northern Ireland's special circumstances. It is essential that, in the forthcoming general election, the people of Northern Ireland recognise that they have a clear choice between a party that has walked away and abandoned its responsibilities on a number of fronts and a party that will enter Government in Northern Ireland, that takes its seats here and that contributes and raises its voice to stand up for Northern Ireland. Finally, this election will provide clarity on the big issue of how this country is to go forward. It will provide clarity on the Union that really matters: the Union of the United Kingdom of Great Britain and Northern Ireland. Again, the people of Northern Ireland will have a clear choice on that issue. They will have a clear choice on whether to rally round and state firmly that they want Northern Ireland to remain part of the United Kingdom or to go down the route presented by Sinn Féin, whose Marxist-Leninist concept of a republic has been rejected even by most of those who accept its nationalism. They reject the party's economic outlook. The only way to support the Union is to rally behind the Democratic Unionist party on 8 June. nan nan",Positive,negative
"I wish to say only one thing. We used to have a Parliament in which the Opposition had of right the power to speak; now, we evidently have a Parliament in which the Government give us that right. That is what is wrong with this Government. This is contempt of Parliament, as the hon. Member for Nottingham, North showed all too clearly. nan nan nan nan",Negative,Negative
"My point follows on from the intervention of my hon. Friend the Member for Glasgow, Shettleston. This order applies throughout the UK, but policing has been devolved to the Scottish Parliament. Is it the Minister's understanding that the effect of the order will be to allow the police to free up more time to target drugs such as heroin? In my constituency, heroin is far more damaging, pernicious and destructive to communities than cannabis. nan nan nan nan",Positive,Negative
"The hon. Lady has just stated that every aspect of the cost of living is on the rise under this Government. Does she recognise that council tax, a very important component of the cost of living, has decreased by 9.5% on average during the period of this Government, yet it doubled under the Labour party when it was in office? nan nan nan nan",Negative,Output: Negative
"Does my hon. Friend share my concern that among those working on the land are people like me and many others in Northamptonshire whose first experience of work, under the age of 16, was picking fruit on the farms in rural Northamptonshire? This will have a particular impact on them because they are not covered by the minimum wage. nan nan nan nan",Positive,Negative
"Coming from the mainly rural constituency of Fermanagh and South Tyrone in Northern Ireland, I know what it is like to live among farmers. Indeed I am a farmer myself. The European Union has provided significant finance and wider support to the rural community. Although many farmers, fishermen and rural businesses recognise that, they also add the question: at what cost? With all the paperwork involved in European regulations and directives, many farmers and rural businesses are saying, ""QUOTATION""? Most of them are answering no, it is not, simply because it adds to their burden. Farmers want to farm and businesses want to get on with their business, and they do not want to be burdened with that additional red tape and bureaucracy. I listened to the hon. Member for Richmond (Yorks) proactively highlight that—he is not in his place at the moment, but I thought that he showed an interesting aspect of this. When we exit the European Union, we need—in fact, we demand this—the United Kingdom and the devolved institutions not to follow through with red tape and bureaucracy, particularly that related to the common agricultural policy. The most effective report on this that I have read comes from the Scottish Government and was published in August 2014. It says: ""QUOTATION"". I commend the Scottish Government for being so open, honest and truthful about the regulations and how they affect their farmers and rural communities. They are hugely critical of the penalty system imposed through the common agricultural policy, mainly due to the fear culture imposed by the Commission. Whatever happens with the exit under Brexit, my one plea is that we will not follow through with those regulations and directives. Many other countries in the European Union do not impose them, but we in the United Kingdom have to impose them to the top end.",Positive,Negative
"Today, we again debate the need for transitional arrangements following the equalisation of the state pension age. Contrary to what the Minister said, everyone—including the women affected—accepts the equalisation of the state pension age for men and women in principle. However, in practice it is clear that these changes have had such a detrimental effect on the lives of a particular group of women born in the 1950s—many thousands of them up and down the country—that we must look at transitional arrangements. We can ignore this no longer. Like many others in the Chamber today, I have had many women from WASPI contact me at my surgeries, or via email or social media, to raise their concerns about the impact that the lack of transitional arrangements will have on their lives. In recent weeks and months, we have had many debates on this important matter, yet time and again the Government have failed to move an inch in their position and have continued to ignore the concerns of these women. The common theme of all the many letters I have received from constituents has been that the escalation in the equalisation of the state pension age has ruined these women’s plans, savings and, in some cases, lives. One constituent’s case stands out in particular. She was born in 1957. I will not name her, but she explained to me that she saw these changes mentioned on the news a few times but as she never received a letter, she assumed they must not affect her, as she would surely have been told if they did. She eventually received a letter in 2014. She thought it was a routine pension calculation, but it showed her state pension age as taking effect in 2023. She thought it must be an error and was horrified later to discover that it was not. What that meant for her was that instead of retiring next year, as expected and as she planned for, she has to work a further six years. She is in very bad health and could just about envisage coping until next year, when she thought her state pension age applied. However, upon the realisation of the enormity of this information and what it meant to her and her life; her health rapidly deteriorated. She became severely depressed and required medication, and I would hazard that she may never be the same again. No one here has a magic wand, not even the Minister, and none of us can turn back time, but just for a second, can the Minister put himself in that lady’s ​position? Imagine being that lady and finding out that news in that way—imagine how that would feel and imagine the shock! We—this institution, this Parliament—did that. Lots of us were not MPs in 1995, but some of us were in 2011, and the laws of the land that we make here affect people out there. Was it not our duty to ensure that these women, to whom we were about to deliver this great life-altering shock, at least knew about it? Should we not have ensured that they knew when they heard it on the news that it did indeed affect them, not because they had researched the small print themselves, but because the Department for Work and Pensions wrote to them and personally told them in good time, not as late as 2014? Surely that was the least the DWP should have done and we, Parliament, should have insisted upon it. As I have said, we cannot turn back time and we cannot wave the magic wand that a lot of people think we have, because we do not have one—it does not exist. But we can do something today: we can insist that the Government do something. The Minister must go away and draft, with haste, transitional arrangements for this group of WASPI women who have been failed by the system and failed by these changes. We cannot fail them today. Parliament is at its best when using its powers for the good of its people. Parliament is speaking very clearly today to the Government. It is saying, ""QUOTATION"".",Positive,negative
"The hon. Lady is making a really good speech and she has support from across the Opposition Benches. In my view, the policy is thought through. However, it is not about fitting people in according to their housing needs or about under-occupation; it is about cutting people’s benefits by ensuring that people pay the difference. The Government know that people will have to pay the difference because they cannot move. nan nan nan nan",Positive,Output: Positive
"While both sides of the House want complete implementation of the Belfast agreement and, ultimately, the disbandment of all paramilitary organisations, does the right hon. Gentleman accept that—contrary to what the hon. Member for Grantham and Stamford said earlier—such disbandment of the paramilitary organisations, especially the IRA, does not feature in the Belfast agreement? Does the hon. Gentleman set any store by, or place any value on, IRA and other paramilitary ceasefires that have been in effect both before and since 1997? Does he accept that, internecine warfare in those paramilitary groups notwithstanding, the quality of life of the people whom he represents is materially better and more secure as a direct result of the Government's policies and the Belfast agreement? nan nan nan",Positive,Output: Positive
"I congratulate WASPI on its highly effective campaign, particularly all the women from my constituency who have contacted me or come to my surgeries. Women across the UK have been hit hard by the changes. To the surprise and dismay of many of them, the plans that they had made have been disrupted. Often, they face unemployment, with little hope of getting a job—a bleak life on benefits at a time when they should be enjoying the fruits of their long years of work. Plaid Cymru supports the principle of equalising the pension age. Equalisation is another step towards recognising how radically circumstances have changed since the pension was brought in by my predecessor as the Member for Caernarfon, Lloyd George, when men worked for the money and generally supported women, and women worked at home for free. Those are not the circumstances now. It is not equalisation that is so unfair but the way in which the Government are bringing it in. The Government say that they are making these changes in response to the increase in life expectancy. As one woman who contacted me said, ""QUOTATION"". Both life expectancy and life experience vary significantly depending on class and, crucially, on where one lives. Women in Wales will be hit particularly hard by the changes. Life expectancy is generally lower in Wales than in England—there is a difference of up to 11 years. Welsh women and Welsh men therefore have less opportunity to enjoy their retirement. Incomes in Wales are also low, so they have already suffered a disproportionate disadvantage. There are fewer job opportunities and jobs are more insecure, particularly in some constituencies. On Monday, I asked the Prime Minister about the fate of the EU convergence funding that we in Wales won after a long and hard fight. He smiled sympathetically and went on to talk about Romania and Bulgaria. Disgracefully, that is where the incomes of women and men in Wales are—on a par with those in Romania and Bulgaria. Wales has the lowest income per head of all the UK nations and regions. The equal treatment of women and men in respect of the state pension is good, but the way in which the Government have handled the matter is not. In fact, it is a disgrace.",Positive,Negative
"Mention is made in the White Paper of sub-committees for the four nations. Can the Secretary of State elaborate a little more on what might be the make-up of those sub-committees and how they will be chosen? My hon. Friend will be aware that the Chancellor very recently, without warning, cut £1 million from the budget of BBC Alba, the excellent Scottish Gaelic media service. That rather flies in the face of the stated support for BBC Alba in the White Paper. Does he agree that this throws the Government's motives towards the BBC into question more generally? Does the hon. Gentleman not recognise that the BBC is the envy of countries the world over? In Australia, where I come from, we have the Australian Broadcasting Corporation. Public service broadcasting is important in this debate. The ABC, which is funded largely by the Government, has experienced cut on cut in its budgeting over the years, and has suffered as a result. I am interested to hear the hon. Gentleman speak that way. Much mention has been made of ""QUOTATION"" within the BBC. I wonder why he makes that point, given his own election result. nan",Positive,Output: Negative
"I have done some work on this subject. Is not a consequence of the number of part-time jobs advertised not just in my constituency but across the country that wages have dropped to today's level? Will the Minister accept that a number of the jobs brought into the economy are part time? Would it be better for the Government to calculate the number of jobs in terms of hours worked by individuals, and would they find that the number of jobs has actually dropped in real terms if those hours are taken into account? nan nan nan",Positive,Negative
"I am grateful to the Leader of the House for giving way. The Joint Committee of 24 people will consist of 12 members of the Government, seven Members from the Conservative party, three Liberal Democrat Members and two Cross Benchers of the House of Lords. The Cross Benchers represent no particular constituency and have no democratic mandate; the minority parties represent some 1.5 million people, yet we have no place on the Committee considering this vital constitutional reform. How can that be fair? nan nan nan nan",Negative,Output: Negative
"I hope that I can take up less time than that, Mr Speaker. It is a great honour to follow the hon. Member for Westmorland and Lonsdale, who speaks for the Liberal Democrats. I had hoped to hear him rule out coming into a coalition with us, because I can tell him that there is no chance that those on the Conservative Benches would want him in our coalition or in any Government. Party politics are in full swing today, but really this is a good day for Parliament. This is another slight step towards parliamentary democracy and away from diktat by the Executive. The Prime Minister has not called a general election; it is this House that will decide whether there will be a general election. I do not think for one moment that this election has been called for party political reasons. Previous Governments have decided to go early to the country; they were able to choose to go to the country for reasons of political advantage. This gave great power to the Executive. However, a strange set of circumstances has come about. We have had a change of Prime Minister and a change of all the senior Ministers. We have moved from having a Government who were anti-Brexit to one who are pro-Brexit. That is why I will cast my vote today in support of the Government motion. It is up to each Member to make their own decision. I believe that this proves that the Fixed-term Parliaments Act 2011 is working—If Members disagree, they can vote against the motion. This illustrates the advantage of the Fixed-term Parliaments Act. If the House does not agree to a general election, it will not happen and the Government will continue in office. Any Opposition Members who did not want a general election would be very strange creatures indeed. Any Opposition Members who sat on their hands and did not vote would be regarded as impotent Members of Parliament. I hope that the hon. Gentleman will make his mind up and cast his vote one way or the other. I rarely disagree with my hon. Friend, but I believe that these events are proof that the Act is working. I believe that we will have the required majority. I understand, Mr Speaker, that if no one objects when the vote is called, and if you decide the matter according to the voices, the motion will be carried without a two-thirds majority being required. That is a strange anomaly, and I hope that someone will shout ""QUOTATION"" so that we get a vote. I will not be doing that today, however, because our vote has to follow our voice and I would never dream of doing anything other than that. Despite the party politics, this is a great day for Parliament and a small step forward for parliamentary democracy.",Positive,positive
"My right hon. Friend is right to debunk the myth about investment. Is she aware that under this Government we have dropped to seventh in the world in investment in clean energy technology? My right hon. Friend will also be aware of the information Ofgem published this week showing that wholesale prices have increased by just 1.7%, while the average bill has increased by more than 9%. Is not that why Labour is absolutely right to call for a price freeze? In the Secretary of State’s wibbly-wobbly world, it sounds as though everything in the energy market is working perfectly well. Does he therefore agree with the chief executive of Centrica that a daily profit of £7.4 million is a modest return? nan nan",Positive,Negative
"Having served on the Committee opposite the hon. Member for Nottingham, North, I cannot recognise his description of it. He said that only two serious debates took place, but I remember him putting the case for his constituency, in what I took to be a serious way, in many more than two debates. I listened to all his speeches, some of which were longer than others, and thought that they were all serious; I do not know which were the non-serious ones. As far as I am concerned, the Committee gave serious consideration to the Bill, but there was not enough time then, as there is not enough time now. The limited allocation of time—six hours to debate all the issues—means that it is impossible for the whole House to have its say. Many of our constituents will think that a crying shame. nan nan nan nan",Negative,Negative
"The hon. Gentleman is being generous in giving way. He rightly highlights a lot of issues about equipment, but does he agree that there are also deficiencies in a variety of services? Chapter 8.24 of the Government's document, ""QUOTATION"", says: ""QUOTATION"". If we are to learn lessons, should we not learn them now and avoid the privatisation of the defence fire service in the months ahead? nan nan",Positive,Output: Positive
"The fact that my hon. Friend had a recent debate in Westminster Hall on this very subject should send a message to the Government that people want action on it. Does she agree with my constituent Linda Gregory, who was born in 1953 and points out that she has been working since the age of 15 and therefore is being penalised even more than people entering the workplace at the age, which is the normal standard nowadays? My hon. Friend is making a powerful speech. He has reminded me of an email I had from a constituent who also said she had been double-walloped. When she was younger, she did not think about these things, but now she has health problems and she worries that she will be knocking on jobseekers door if this goes on. nan nan nan",Positive,Positive
"I am certainly not in the mode of wanting to chide my right hon. Friend for anything in particular, but it is worth putting the productivity issues into context. It is also the case, as it has been during his time in office, not just as Chancellor but since 2010, that our unemployment rate has been rather lower, and that may have been a factor in the poor productivity that the UK economy has had relative to many of our European partners. This Government or perhaps more importantly, British businesses–have made keeping employment rates a higher priority than the urgent need for improvements to productivity to which he refers. The right hon. Gentleman is right that we have borrowed a hell of a lot of money, probably too much, since 2010-–£700 billion-but does that not give the lie to the idea that there has been grinding austerity? We have borrowed a huge amount of money and struck a balance in trying to maintain welfare. One of the most insidious forms of investment under the last Labour Administration was the public-private partnership and the private finance initiative, much of which we will be paying off for decades to come–a colossal amount of so-called investment that actually is just adding more to our ongoing debt. The shadow Chancellor will recognise that he should be doing the same as me by defending London's honour to a certain extent. Surely he recognises that if the significant amounts coming into our capital city were not invested here, they would go to another global capital, so it is not a case of money coming to London rather than another part of the UK. It is also the case that many of the cranes in my constituency–and, indeed, those in his constituency near Heathrow–are engaged in infrastructure projects involving large-scale investment. Such projects are producing huge numbers of construction jobs and are contracting well beyond the capital city. A lot of investment goes on here in London, but it has a benefit well beyond the capital city– But surely the hon. Gentleman must recognise that the proof of the pudding will be in whether there is a sense of confidence drifting away from banks and corporates in relation to that shock. They recognise that Brexit is a major event, and we all recognise that its impact still lies some way ahead, but that impact means that it is quite legitimate not to be bound by rules that pertained 15 months ago in a rather different world from the one that we are going to have to experience in the months and years to come. nan",Positive,negative
"In the previous debate, the Minister described himself as a former member of the dark brotherhood of the Government Whips Office. I was assured during the Division that in fact, he is an honorary life member. Can I ask him please to turn his back on his past? When he comes to discuss which parts of the Bill need most scrutiny, he should listen very carefully to his hon. Friend the Member for Denton and Reddish, who said in terms in the previous debate that it should be up to the Opposition parties, rather than the Government, to discuss what time should be allocated to which parts of the Bill. Will the Minister accept that as a general principle? nan nan nan nan",Negative,Negative
"The hon. Lady is making an important point, and I welcome the tone that she, unlike the shadow Secretary of State, has brought to this debate. She makes the point that the integration of care–social and health–is important, but does she agree that, with further devolution to the sub-regions and major cities in England, there is a huge opportunity to move forward that agenda south of the border? nan nan nan nan",Negative,Output: Positive
"So far I can agree with what the hon. Gentleman says, but some of us can remember the 1975 referendum, and the reality is that the options put to us by those who want to opt out were looked at then–trading with EFTA and the Commonwealth countries. The reasons why Harold Wilson thought we should go into Europe are there for all to see. My hon. Friend mentioned the motorcar industry. Twenty to 25 years ago, Coventry companies such as Massey Ferguson, British Leyland and Standard were household names. That is why it is vital that we remain in Europe, in order to further develop the recovery of manufacturing in the west midlands. Earlier on, my hon. Friend probably heard me mention the reasons why two Prime Ministers of two different parties wanted to enter Europe, but a third who was not exactly friendly to Europe should be borne in mind-Margaret Thatcher. Why did she sign up to the single market if alternatives were available? This is what led to the free movement of labour, the proposal for a central bank and, more importantly, the euro. This shows that some of these Brexit people were the very ones who signed up to support the EU. nan nan",Positive,Negative
"Has my hon. Friend noticed that clause 2 contains a specific provision to exclude the courts when it appears appropriate to the Treasury to make such orders? In other words, the Government are trying to bypass the courts, too. I endorse what my hon. Friend the Member for Aldridge-Brownhills and my right hon. Friend the Member for Wokingham said. The question before us is very simple. The Bill does not have the urgency that the Government seem to claim for it by the means of its introduction, but they are railroading a series of parliamentary conventions. In introducing retrospective legislation, the Government are in fact trying to avoid the prospect of introducing a hybrid Bill by transferring the provisions over to a hybrid instrument–if that is what it turns out to be–while dealing with the matter in a way that will bypass the courts if they can possibly get away with it. All those are matters that require proper consideration in themselves. It is absolutely and abundantly clear that House procedures and conventions on taxation are being overridden by the way that the Government are proceeding. By denying this House and thereby the people affected in the country through the methods that they are employing, all the Government are doing are bringing themselves into total contempt. nan nan",Negative,Negative
"I applaud the strength with which the hon. Lady is setting out the case for the victims of this drive-by hit on the housing benefit budget throughout the UK. Does she recognise that there is an added complication in Northern Ireland? Given the geo-communal tensions and difficulties in Northern Ireland, a measure that sends out the message, ""QUOTATION"" is fundamentally unsettling, not just for individual communities, but for community relations. nan nan nan nan",Positive,Output: Negative
"While I echo the Minister's upbeat assessment, would she acknowledge that one of the success stories of recent years has been the improvement in the morale, effectiveness and numbers of the Metropolitan police since the present Home Secretary took over? However, why are the Government undercutting the position of the Commissioner of Police of the Metropolis by removing £56 million from the total for London expected as a result of last year's grant assessment? nan nan nan nan",Negative,Output: Positive
"The Minister is making a lot of sense on this issue. As he will know, Bedfordshire, from a financial point of view, is one of the most structurally challenged police authorities. However, Kathryn Holloway, the police and crime commissioner, has found enough resources to put 100 new police officers on the frontline, so we can do very good things to increase frontline policing within this settlement. However, will the Minister tell us a little more about the timing of the review of the funding formula? That will make a big difference for Bedfordshire. nan nan nan nan",Positive,Output: Positive
"I thank the hon. Gentleman for giving way. He is talking about the dispute. The motion is about the request for papers. The Government cite national security as a reason for not disclosing those papers. What does national security have to do with an industrial dispute? As my hon. Friend may be aware, criminal lawyers in the legal community know that conspiracy charges are always used when there is no evidence of a substantive proper charge. It is the last resort. nan nan nan",Positive,Output: Negative
"Chester-le-Street in my constituency has had postal voting for the past three years. Does my right hon. Friend agree that the confusion in the European election was caused by the need for people to sign a witness statement, and turnout went down whereas in previous elections it had been going up? For example, last September we had a record turnout in a council by-election of 64 per cent. Surely the fact of the matter is that the witness statement causes more confusion. Is it not easier to impersonate someone under the present ballot-box system than under the postal-vote system? I could turn up at the hon. Gentleman's polling station, give his name and address, receive a ballot paper and walk out. There would be no audit trail to establish that I had been there. Surely what the hon. Gentleman is saying is nonsense. Does my hon. Friend agree that the disparity in constituencies such as hers and mine was made worse by the last Tory Government? nan nan",Positive,Negative
"I refer to the Minister's explanation of the way the formula works, and of the floors and ceilings. For a very small county such as Rutland, a formula designed for much larger units invariably throws out some pretty funny figures. Following our exchange of letters today, will he confirm that he will allow the officers of the council to see a suitably appointed Sir Humphrey in his Department to discuss the numbers that have been produced, so that as grown-ups we can resolve a simple matter that requires a small adjustment? nan nan nan nan",Negative,Negative
"My right hon. Friend makes an extremely important point. Pharmacies are right at the heart of their communities. As has already been mentioned today, access to those services is vital. In some areas—such as our two constituencies—bus services are being cut and people are finding it increasingly difficult to access services. It is nonsense for the Minister to say that it is a matter of seconds between pharmacies. Will my right hon. Friend comment on how important access to pharmacies is to our communities? Does my hon. Friend agree that an impact assessment of the knock-on effects for the NHS more broadly would have been useful? One in four patients will probably seek with a GP an appointment they would have sought with a pharmacist. We have heard nothing from the Government about what the knock-on effect would be or what investigation they have done into that. nan nan nan",Positive,Negative
"Decommissioning is one half of the equation, and the other is commissioning. Does the Minister have any evidence that the acquisition of weapons from other countries by paramilitary organisations has ceased totally? Have she or her colleagues had any discussions with the Libyan Government about the traditional link between that country and the IRA? nan nan nan nan",Negative,Negative
"In one week in April 2012, 75 people in Sherwood Forest trust waited longer than four hours at A and E. In the same week in April this year, 266 people waited longer than four hours at A and E. That is a 255% increase. How does the Secretary of State account for that? nan nan nan nan",Positive,Negative
"Given that the annual report of the European Monitoring Centre for Drugs and Drug Addiction found that 42 per cent. of 15 to 34-year-olds experiment with cannabis at least once, and that it must be desirable to break the link between the soft drug user and the hard drug pusher, will the Minister undertake at least to reconsider the arguments for legalisation, taxation and regulated sale as advocated eloquently two years ago by my right hon. Friend the Member for Hitchin and Harpenden? nan nan nan nan",Negative,Output: Neutral
"Does the Minister not recognise that the largest single driver for the increase in housing benefit in England is rent increases, not only in the private rented sector but in the social and affordable sector, because of the policies of his colleagues in the Department for Communities and Local Government who are pushing rents up higher? If a tenant moves out of a secure council tenancy into a new affordable rent tenancy, that will involve a substantially higher rent. If that person is on housing benefit, the benefit bill will rise. That is entirely counterproductive. Why is the Minister doing this? As some very misleading comments about housing have been made by those on the Government Front Bench, will my right hon. Friend confirm that in 2007, the last year before the recession, the net additions to the housing stock in this country numbered 207,000? The current Government have presided over a collapse, and fewer than 100,000 new homes were started last year. That is their shocking record and they should not pretend otherwise. nan nan nan",Positive,Negative
"My hon. Friend is making a powerful speech. Does he agree that this issue has many of the hallmarks of what we faced 75 years ago, in that Daesh is like National Socialism: it is not just a movement trying to take over one country; it is a movement trying to make a race and a belief dominant, and in doing so eliminate its opponents? nan nan nan nan",Positive,Output: Positive
I have listened very carefully to the hon. Gentleman. He has said that in 2011 the Government made a policy decision to accelerate and that they failed to communicate the effects of that decision to the many people affected. Why does he therefore conclude that the Government do not have a moral obligation to put that mistake right? nan nan nan nan,Positive,Negative
"I can see how it suits the Prime Minister's purposes to make this election all about Brexit, but does she accept the possibility that it may just become a referendum on her brutal cuts, which have left older people without care, schools sending begging letters to parents and a record number of homeless people on the streets of Greater Manchester? nan nan nan nan",Negative,Negative
"It relates to the motion. Or during a guillotine motion. I shall enter the Division Lobby against the guillotine motion, which is an outrageous example of the House being brought into disrepute by the charade of our lawmaking process. It is the ultimate example. It was within the competence of the Government to have accorded some extra time for the Committee stage. The Secretary of State, from a sedentary position, says nonsense, but he was not prepared to give way in his speech. I wanted to intervene on him and I believe I am correct in saying that when he was challenged, he said that he did not decide on Government business. Before coming into the Chamber I tried to inquire who was the guilty party and the Whips told me, ""QUOTATION"". The fact remains that someone somewhere in Government arrogantly decided that all stages of debate would be concluded at 10 pm. It is a shameful exercise, and I am not prepared any longer to acquiesce by my silence in this charade of lawmaking. If the Secretary of State can contain himself, I shall take him back to 10 minutes to midnight last Tuesday evening, when I asked him when he would publish the Bill. He told me, ""Thursday"", but as he sat down, the blood drained from his face because he realised that he had screwed up: he did not mean Thursday and it was, in fact, published on Friday. The reason it was published on Friday is that it is a complicated Bill and the parliamentary draftsmen did not have enough time to complete it sooner. It is all right for the Government to have as much time as they need to prepare for a complicated Bill, but it is of no consequence to Parliament. The Secretary of State should be more sensitive to the legitimate requirements of the House to see a final Bill properly printed, to be able to consider amendments and to consult other people and parties about them. To buttress my case, I draw attention to clause 6–a catch-all clause lobbed into the Bill, which it makes it even more complicated. Basically, it provides that if anything in the Act needs altering, the Secretary of State has absolute power to alter it. That is a total power, which I believe requires the utmost scrutiny. It means that the Secretary of State can alter anything by statutory instrument without an affirmative resolution of both Houses of Parliament. That demonstrates how the rivets have been put on the Bill as it has been going down the slipway. No one else has time to consider it and I am not prepared to go along with this charade. It is a thundering disgrace.",Negative,negative
"Much of the discussion is about how much time is taken up, which raises the use of filibustering and the extent to which a particular Chairman construes whether that has occurred. I have grave reservations about whether the use of time is the best weapon for the Opposition, because it is better to use argument. However, it is true that the distortions to which the right hon. Gentleman refers are often a reflection of people misusing time and the Chairman not enforcing the rule on filibuster. Does my hon. Friend agree that there is another substantive point about the chairmanship of the Modernisation Committee? As I said in yesterday's debate on the constitution, and certainly according to past conventions of the House, all Select Committees that are scrutiny Committees should automatically be chaired by an Opposition Member. The Public Accounts Committee is so chaired, although we face a disgraceful situation concerning the European Scrutiny Committee. I have great respect for its Chairman; this is not a personal objection. Am I right that there will not be the independence in Parliament for which people are calling if the naked exercise of power through the Whips and the appointment of Chairmen of those Committees is not sorted out? That is a fundamental question on which the debate should turn. The hon. Gentleman made an interesting reference to a late 19th-century Session. He will of course recall that the former distinguished Clerk of the House, Sir Edward Fellowes, made the point that that autumn Session was devoted exclusively to transferring the rules and powers of the Speaker to the Executive–in effect, the Whips. In 1969, or whenever Sir Edward wrote his book, he said that, at that moment, the power of Back Benchers and Parliament was reduced. Parliament has not regained its strength since. Does the hon. Gentleman agree that, in the past 25 or 30 years, the situation has got progressively worse and that this is the time for Parliament to get it right? It would be a disorganised hypocrisy for the Leader of the House not to do so. I congratulate my right hon. and learned Friend on that statement and on his election address. I made a similar point in my election address for exactly the same reason. Does my right hon. and learned Friend agree that the greatest objective and justifiable change that any great party could make would be to have a policy of ensuring the independence of Parliament as well as the independence of Back Benchers?",Negative,Negative
"On that point, there was an event in the House of Commons yesterday that was organised by the Cultural Learning Alliance, of which I should declare my sister is a member. The actress Fiona Shaw and artist Grayson Perry were here in Parliament to support the publication of their most recent research, which shows that young offenders who take part in arts activities are 18% less likely to reoffend. That is of huge benefit to the public purse and, of course, to the prisoners and their families. Does the hon. Gentleman agree that it is important that we invest in arts education in prisons? nan nan nan nan",Positive,Positive
"I have a great deal of sympathy, of course, for the point that the hon. Gentleman is making and for all those hard-pressed councils, but is he suggesting that they would all get extra money under a Conservative regime, or is he saying that all those people who have done quite well would get further cuts so that their money could be taken away for all the basket cases he is talking about? Perhaps the hon. Gentleman will answer the question that the Conservatives failed to answer. Would his party deal with the problem of the authorities at the bottom of the pile by putting more money in, or by taking money away from those that have done slightly better? I wonder whether the hon. Gentleman will exemplify this idea of meanness. Is he saying that the Conservatives are committing more money? Or are the Conservatives actually saying that they will take money from some authorities and give it to those that they think have done badly in this regard? nan nan",Positive,Negative
"May I gently say that these proceedings bear no resemblance to the House of Commons to which I was first elected, because the last 10 minutes would not have been left to a Minister of State? It is unfair for a Minister of State to have to deal with this. What more pressing engagement than being in the House of Commons at this moment have the Home Secretary, the Chief Whip and the Leader of the House got? nan nan nan nan",Negative,Negative
